idx,id,type,name,uri
92,-//ecoinformatics.org//eml-coverage-2.0.0beta6//EN,METADATA,"Ecological Metadata Language, Coverage module, version 2.0.0beta6",http://schema.geolink.org/dev/voc/dataone/format#092
93,-//ecoinformatics.org//eml-dataset-2.0.0beta6//EN,METADATA,"Ecological Metadata Language, Dataset module, version 2.0.0beta6",http://schema.geolink.org/dev/voc/dataone/format#093
94,-//ecoinformatics.org//eml-distribution-2.0.0beta6//EN,METADATA,"Ecological Metadata Language, Distribution module, version 2.0.0beta6",http://schema.geolink.org/dev/voc/dataone/format#094
95,-//ecoinformatics.org//eml-entity-2.0.0beta6//EN,METADATA,"Ecological Metadata Language, Entity module, version 2.0.0beta6",http://schema.geolink.org/dev/voc/dataone/format#095
96,-//ecoinformatics.org//eml-literature-2.0.0beta6//EN,METADATA,"Ecological Metadata Language, Literature module, version 2.0.0beta6",http://schema.geolink.org/dev/voc/dataone/format#096
97,-//ecoinformatics.org//eml-party-2.0.0beta6//EN,METADATA,"Ecological Metadata Language, Party module, version 2.0.0beta6",http://schema.geolink.org/dev/voc/dataone/format#097
98,-//ecoinformatics.org//eml-physical-2.0.0beta6//EN,METADATA,"Ecological Metadata Language, Physical module, version 2.0.0beta6",http://schema.geolink.org/dev/voc/dataone/format#098
99,-//ecoinformatics.org//eml-project-2.0.0beta6//EN,METADATA,"Ecological Metadata Language, Project module, version 2.0.0beta6",http://schema.geolink.org/dev/voc/dataone/format#099
100,-//ecoinformatics.org//eml-protocol-2.0.0beta6//EN,METADATA,"Ecological Metadata Language, Protocol module, version 2.0.0beta6",http://schema.geolink.org/dev/voc/dataone/format#100
101,-//ecoinformatics.org//eml-resource-2.0.0beta6//EN,METADATA,"Ecological Metadata Language, Resource module, version 2.0.0beta6",http://schema.geolink.org/dev/voc/dataone/format#101
102,-//ecoinformatics.org//eml-software-2.0.0beta6//EN,METADATA,"Ecological Metadata Language, Software module, version 2.0.0beta6",http://schema.geolink.org/dev/voc/dataone/format#102
103,ddi:codebook:2_5,METADATA,"Data Documentation Initiative, Codebook version 2.5",http://schema.geolink.org/dev/voc/dataone/format#103
104,http://www.icpsr.umich.edu/DDI,METADATA,"Data Documentation Initiative, Codebook version 2.1",http://schema.geolink.org/dev/voc/dataone/format#104
105,http://purl.org/ornl/schema/mercury/terms/v1.0,METADATA,Oak Ridge National Lab Mercury Metadata version 1.0,http://schema.geolink.org/dev/voc/dataone/format#105
106,http://datacite.org/schema/kernel-3.0,METADATA,DataCite Metadata Schema version 3.0,http://schema.geolink.org/dev/voc/dataone/format#106
107,http://datacite.org/schema/kernel-3.1,METADATA,DataCite Metadata Schema version 3.1,http://schema.geolink.org/dev/voc/dataone/format#107
108,http://www.nexml.org/2009,DATA,NeXML 2009,http://schema.geolink.org/dev/voc/dataone/format#108
109,http://ns.dataone.org/metadata/schema/onedcx/v1.0,METADATA,DataONE Dublin Core Extended v1.0,http://schema.geolink.org/dev/voc/dataone/format#109
110,http://docs.annotatorjs.org/en/v1.2.x/annotation-format.html,RESOURCE,AnnotatorJS 1.2.x Annotation model,http://schema.geolink.org/dev/voc/dataone/format#110
111,http://www.isotc211.org/2005/gmd,METADATA,Geographic MetaData (GMD) Extensible Markup Language,http://schema.geolink.org/dev/voc/dataone/format#111
112,application/bagit-097,DATA,BagIt File Packaging Format Version 0.97,http://schema.geolink.org/dev/voc/dataone/format#112
